  id req                time  stage num
       1             3.49971    stage 1
       2             4.60855    stage 1
       1             4.82615    stage 2
       3             5.21976    stage 1
       2             5.71442    stage 2
       4             21.6395    stage 1
       3             22.0033    stage 2
       1             29.9678    stage 3
       4              5.8199    stage 2
       5             6.94037    stage 1
       2             13.1683    stage 3
       6             7.06189    stage 1
       5             8.35491    stage 2
       6             5.46686    stage 2
       7             6.54985    stage 1
       3             9.31769    stage 3
       8             5.00419    stage 1
       7             5.59743    stage 2
       9             4.28636    stage 1
       8             4.09543    stage 2
       4              10.245    stage 3
      10             6.34427    stage 1
       9             5.92613    stage 2
      11              5.7783    stage 1
       5              10.964    stage 3
      10             5.65305    stage 2
      12             3.36604    stage 1
      11             5.07868    stage 2
      13             3.27864    stage 1
       6             9.45584    stage 3
      12             5.65219    stage 2
      14             5.19136    stage 1
      13              5.1708    stage 2
       7             9.48861    stage 3
      15             6.06103    stage 1
      14             4.25066    stage 2
      16             5.62815    stage 1
      15             5.90286    stage 2
       8             9.93906    stage 3
      17             4.93347    stage 1
      16             3.73779    stage 2
      18             5.75483    stage 1
      17             5.44459    stage 2
       9             9.72621    stage 3
      19             4.72277    stage 1
      18             4.46361    stage 2
      20             4.68981    stage 1
      19              3.9218    stage 2
      10             10.2742    stage 3
      21             5.11051    stage 1
      20             4.34217    stage 2
      22             5.30706    stage 1
      21             6.07156    stage 2
      11             10.0215    stage 3
      23             4.33358    stage 1
      22             4.37076    stage 2
      24             4.44661    stage 1
      12             8.69192    stage 3
      23             4.74761    stage 2
      25             4.37542    stage 1
      24             5.50772    stage 2
      13             8.79682    stage 3
      26             5.42344    stage 1
      25             5.32659    stage 2
      27             5.17992    stage 1
      26             3.80624    stage 2
      14             8.55382    stage 3
      27              4.0937    stage 2
      28              6.1808    stage 1
      15             9.39781    stage 3
      29             5.23899    stage 1
      28              5.8155    stage 2
      29             4.61634    stage 2
      30             6.34454    stage 1
      16             8.59409    stage 3
      31             4.47354    stage 1
      30              5.2794    stage 2
      32             5.50333    stage 1
      17             10.2338    stage 3
      31             5.83128    stage 2
      33             4.38828    stage 1
      32              4.9675    stage 2
      34             3.74179    stage 1
      18             8.61155    stage 3
      33             4.72325    stage 2
      35              3.7713    stage 1
      36             2.96115    stage 1
      34             6.00996    stage 2
      19             9.15273    stage 3
      37             5.60484    stage 1
      35             5.14172    stage 2
      36             3.92929    stage 2
      38             5.83251    stage 1
      20             10.3956    stage 3
      37             5.61163    stage 2
      39             4.77642    stage 1
      21             8.71554    stage 3
      40             4.70791    stage 1
      38             5.65971    stage 2
      41             5.43894    stage 1
      39             4.76443    stage 2
      22             8.38745    stage 3
      42             4.25229    stage 1
      40             4.11254    stage 2
      43             5.03372    stage 1
      23             8.81325    stage 3
      41             4.93721    stage 2
      44             5.50683    stage 1
      42             5.45696    stage 2
      24             8.44266    stage 3
      45             4.36528    stage 1
      43              4.5712    stage 2
      46             5.38416    stage 1
      25             8.85059    stage 3
      44             6.31587    stage 2
      47             4.27769    stage 1
      45             2.90534    stage 2
      48             3.06828    stage 1
      46             2.66175    stage 2
      26             8.43967    stage 3
      49             2.71086    stage 1
      47               2.766    stage 2
      50             6.56462    stage 1
      48             5.59253    stage 2
      27             8.75354    stage 3
      51             5.26452    stage 1
      49             4.69559    stage 2
      28             9.47899    stage 3
      52               5.335    stage 1
      50             5.99809    stage 2
      53             5.07294    stage 1
      51             5.73945    stage 2
      29             9.05801    stage 3
      54             5.10769    stage 1
      52             5.36583    stage 2
      30             8.98262    stage 3
      53             5.18496    stage 2
      55             6.48897    stage 1
      54             5.41774    stage 2
      56             5.35297    stage 1
      31             8.47624    stage 3
      57             3.85689    stage 1
      55             5.45211    stage 2
      58             4.72511    stage 1
      56             5.06021    stage 2
      32             8.85295    stage 3
      57             2.67938    stage 2
      59             5.33444    stage 1
      58             6.03577    stage 2
      33             9.12215    stage 3
      60               5.349    stage 1
      59             4.13396    stage 2
      61             4.35126    stage 1
      60             4.36594    stage 2
      34             9.39796    stage 3
      62             5.25515    stage 1
      61             5.61157    stage 2
      63             5.63507    stage 1
      35             9.19735    stage 3
      62             4.87278    stage 2
      64              5.1387    stage 1
      63             7.63285    stage 2
      36             9.66047    stage 3
      65              7.2504    stage 1
      64             4.62028    stage 2
      66             7.20284    stage 1
      37             9.54368    stage 3
      65             5.22088    stage 2
      67              3.6176    stage 1
      68             3.70122    stage 1
      66             6.59626    stage 2
      38              9.1728    stage 3
      69             4.47076    stage 1
      67              4.7766    stage 2
      70             3.58401    stage 1
      68             5.13371    stage 2
      39             8.42564    stage 3
      71             4.12936    stage 1
      69             3.92114    stage 2
      72             3.23698    stage 1
      70              5.6314    stage 2
      40             9.70187    stage 3
      73             5.13983    stage 1
      71             5.79676    stage 2
      74             6.79337    stage 1
      41             10.0335    stage 3
      72             5.24695    stage 2
      75             5.79821    stage 1
      73             5.08378    stage 2
      76             5.47067    stage 1
      42             9.32738    stage 3
      74             4.09452    stage 2
      77             5.04237    stage 1
      75             5.07408    stage 2
      43             8.67905    stage 3
      78             4.71898    stage 1
      76             3.65847    stage 2
      79             5.11032    stage 1
      44             8.12391    stage 3
      77             5.34907    stage 2
      80             6.06992    stage 1
      78             5.56551    stage 2
